ds,y
             2017 06 02,0.11109
             2017 06 02,0.0259
             2017 06 01,0.05177
             2017 06 01,0.14338
             2017 05 30,0.05711
             2017 05 30,0.0584
             2017 05 29,0.49341
             2017 05 28,0.27693
             2017 05 28,0.09958
             2017 05 27,0.00849
             2017 05 29,0.01915
             2017 05 29,0.00068
             2017 05 28,0.00102
             2017 05 26,0.01248
             2017 05 25,0.00189
             2017 05 25,0.00677
             2017 05 24,0.01325
             2017 05 24,0.01124
             2017 05 24,0.01182
             2017 05 24,0.00086
             2017 05 23,0.03655
             2017 05 23,0.06041
             2017 05 22,0.04354
             2017 05 22,0.009
             2017 05 22,0.00857
             2017 05 21,0.02507
             2017 05 21,0.06522
             2017 05 21,0.54351
             2017 05 21,0.03475
             2017 05 20,0.2395
             2017 05 18,0.08896
             2017 05 18,0.04991
             2017 05 18,0.01847
             2017 05 17,0.04743
             2017 05 17,0.02709
             2017 05 17,0.04335
             2017 05 17,0.02019
             2017 05 17,0.00125
             2017 05 17,0.08274
             2017 05 03,0.00278
             2017 05 14,0.00889
             2017 05 14,0.01691
             2017 05 14,0.02378
             2017 05 04,0.05781
             2017 05 07,0.05385
             2017 05 04,0.02278
             2017 05 07,0.02286
             2017 05 05,0.03735
             2017 05 05,0.00763
             2017 05 04,0.06795
             2017 05 04,0.1654
             2017 05 06,0.00132
             2017 05 04,0.00111
             2017 05 04,0.04647
             2017 05 03,0.00429
             2017 05 03,0.03925
             2017 05 02,0.04077
             2017 05 02,0.00138
             2017 05 01,0.00062
             2017 04 27,0.00009
             2017 04 30,0.04259
             2017 04 30,0.03781
             2017 04 30,0.06354
             2017 04 30,0.0168
             2017 04 27,0.00959
             2017 04 27,0.00353
             2017 04 27,0.01025
             2017 04 27,0.20822
             2017 04 27,0.00124
             2017 04 27,0.01925
             2017 04 26,0.03422
             2017 04 26,0.13136
             2017 04 26,0.0096
             2017 04 23,0.25373
             2017 04 24,0.00074
             2017 04 23,0.0137
             2017 04 24,0.01057
             2017 04 23,0.02744
             2017 04 22,0.02675
             2017 04 22,0.01103
             2017 04 21,0.07453
             2017 04 22,0.0085
             2017 04 22,0.00135
             2017 04 20,0.01024
             2017 04 20,0.02318
             2017 04 20,0.01592
             2017 04 19,0.21781
             2017 04 19,0.00448
             2017 04 18,0.07167
             2017 04 18,0.00935
             2017 04 17,0.00216
             2017 04 16,0.09997
             2017 04 16,0.05448
             2017 04 17,0.00078
             2017 04 17,0.12534
             2017 04 17,0.00575
             2017 04 16,0.00761
             2017 04 16,0.00596
             2017 04 16,0.00636
             2017 04 06,0.00265
             2017 04 15,0.11681
             2017 04 15,0.05839
             2017 04 07,0.00665
             2017 04 06,0.04595
             2017 04 07,0.20052
             2017 04 06,0.09619
             2017 04 05,0.03238
             2017 04 05,0.00288
             2017 04 05,0.06793
             2017 04 05,0.00743
             2017 04 05,0.02963
             2017 04 03,0.31521
             2017 04 03,0.02828
             2017 04 03,0.08284
             2017 04 03,0.00648
             2017 04 03,0.0083
             2017 04 01,0.19863
             2017 04 01,0.02577
             2017 04 01,0.00423
             2017 04 01,0.04285
             2017 04 01,0.00895
             2017 04 01,0.00619
             2017 04 01,0.15253
             2017 04 03,0.00001
             2017 03 18,0.00933
             2017 03 21,0.00002
             2017 03 19,0.0003
             2017 03 31,0.04258
             2017 03 31,0.00064
             2017 03 29,0.0112
             2017 03 31,0.00672
             2017 03 31,0.01409
             2017 03 30,0.036
             2017 03 30,0.01535
             2017 03 30,0.02176
             2017 03 30,0.00652
             2017 03 30,0.00404
             2017 03 30,0.01427
             2017 03 29,0.02416
             2017 03 29,0.00244
             2017 03 27,0.15588
             2017 03 29,0.00401
             2017 03 29,0.01284
             2017 03 28,0.02254
             2017 03 24,0.04115
             2017 03 29,0.0008
             2017 03 29,0.00315
             2017 03 27,0.00344
             2017 03 27,0.03174
             2017 03 27,0.01179
             2017 03 26,0.06084
             2017 03 25,0.1891
             2017 03 18,0.05895
             2017 03 27,0.00677
             2017 03 27,0.00291
             2017 03 27,0.03699
             2017 03 27,0.0167
             2017 03 26,0.03865
             2017 03 26,0.00484
             2017 03 26,0.01486
             2017 03 26,0.00364
             2017 03 26,0.00076
             2017 03 25,0.00273
             2017 03 25,0.04824
             2017 03 25,0.05167
             2017 03 25,0.03849
             2017 03 25,0.08465
             2017 03 23,0.08269
             2017 03 25,0.00154
             2017 03 25,0.00004
             2017 03 25,0.03972
             2017 03 25,0.0297
